Label,Site,Genus,Treatment,Genotype,Color_type,Color,Name,Area1,Mean_frag,StdDev1,Mode1,Min1,Max1,MinThr1,MaxThr1,Label_match
DL_Poc_T1_DL09.jpg_HSB,DL,Poc,T1,DL09,HSB,G,DL_Poc_T1_DL09.jpg_HSB_08,186607,126.186,54.126,170,0,255,0,255,DL_Poc_T1_DL09
DL_Poc_T1_DL09.jpg_HSB,DL,Poc,T1,DL09,HSB,B,DL_Poc_T1_DL09.jpg_HSB_09,186607,60.803,21.194,46,2,117,0,255,DL_Poc_T1_DL09
DL_Poc_T1_DL10.jpg_RGB,DL,Poc,T1,DL10,RGB,R,DL_Poc_T1_DL10.jpg_RGB_01,218511,64.751,15.985,54,6,118,0,255,DL_Poc_T1_DL10
DL_Poc_T1_DL10.jpg_RGB,DL,Poc,T1,DL10,RGB,G,DL_Poc_T1_DL10.jpg_RGB_02,218511,46.192,17.14,34,0,103,0,255,DL_Poc_T1_DL10
DL_Poc_T1_DL10.jpg_RGB,DL,Poc,T1,DL10,RGB,B,DL_Poc_T1_DL10.jpg_RGB_03,218511,33.143,19.95,18,0,107,0,255,DL_Poc_T1_DL10
DL_Poc_T1_DL10.jpg_LAB,DL,Poc,T1,DL10,LAB,R,DL_Poc_T1_DL10.jpg_LAB_04,218511,20.697,7.507,14.216,0.843,42.34,-3.40E+38,3.40E+38,DL_Poc_T1_DL10
DL_Poc_T1_DL10.jpg_LAB,DL,Poc,T1,DL10,LAB,G,DL_Poc_T1_DL10.jpg_LAB_05,218511,6.751,2.665,6.946,-9.538,13.841,-3.40E+38,3.40E+38,DL_Poc_T1_DL10
DL_Poc_T1_DL10.jpg_LAB,DL,Poc,T1,DL10,LAB,B,DL_Poc_T1_DL10.jpg_LAB_06,218511,11.735,3.847,12.774,-7.275,19.668,-3.40E+38,3.40E+38,DL_Poc_T1_DL10
DL_Poc_T1_DL10.jpg_HSB,DL,Poc,T1,DL10,HSB,R,DL_Poc_T1_DL10.jpg_HSB_07,218511,19.944,19.736,18,0,253,0,255,DL_Poc_T1_DL10
DL_Poc_T1_DL10.jpg_HSB,DL,Poc,T1,DL10,HSB,G,DL_Poc_T1_DL10.jpg_HSB_08,218511,133.46,44.378,153,0,255,0,255,DL_Poc_T1_DL10
DL_Poc_T1_DL10.jpg_HSB,DL,Poc,T1,DL10,HSB,B,DL_Poc_T1_DL10.jpg_HSB_09,218511,64.916,16.027,54,12,118,0,255,DL_Poc_T1_DL10
DL_Poc_T2_DL01.jpg_RGB,DL,Poc,T2,DL01,RGB,R,DL_Poc_T2_DL01.jpg_RGB_01,212699,62.5,18.882,43,1,114,0,255,DL_Poc_T2_DL01
DL_Poc_T2_DL01.jpg_RGB,DL,Poc,T2,DL01,RGB,G,DL_Poc_T2_DL01.jpg_RGB_02,212699,46.478,18.547,28,2,98,0,255,DL_Poc_T2_DL01
DL_Poc_T2_DL01.jpg_RGB,DL,Poc,T2,DL01,RGB,B,DL_Poc_T2_DL01.jpg_RGB_03,212699,29.85,19.169,12,0,99,0,255,DL_Poc_T2_DL01
DL_Poc_T2_DL01.jpg_LAB,DL,Poc,T2,DL01,LAB,R,DL_Poc_T2_DL01.jpg_LAB_04,212699,20.372,8.351,10.986,1.118,40.9,-3.40E+38,3.40E+38,DL_Poc_T2_DL01
DL_Poc_T2_DL01.jpg_LAB,DL,Poc,T2,DL01,LAB,G,DL_Poc_T2_DL01.jpg_LAB_05,212699,5.03,2.175,6.079,-8.647,11.247,-3.40E+38,3.40E+38,DL_Poc_T2_DL01
DL_Poc_T2_DL01.jpg_LAB,DL,Poc,T2,DL01,LAB,B,DL_Poc_T2_DL01.jpg_LAB_06,212699,13.112,5.009,12.842,-5.94,23.468,-3.40E+38,3.40E+38,DL_Poc_T2_DL01
DL_Poc_T2_DL01.jpg_HSB,DL,Poc,T2,DL01,HSB,R,DL_Poc_T2_DL01.jpg_HSB_07,212699,24.715,21.144,20,0,250,0,255,DL_Poc_T2_DL01
